appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
2280,Ultimate Doom,game,4.99,00:00.0,-1,0,0
233150,LUFTRAUSERS,game,9.99,00:00.0,80,0,0
50620,Darksiders™,game,19.99,00:00.0,83,17,0
306260,Selknam Defense,game,9.99,00:00.0,-1,0,0
312150,Wild Warfare,game,0,00:00.0,-1,0,1
73010,Cities in Motion,game,19.99,00:00.0,70,0,0
292930,Black Mirror,game,9.99,00:00.0,-1,0,0
46600,Swarm Arena,game,4.99,00:00.0,-1,0,1
287020,Harvester,game,5.99,00:00.0,53,17,0
254060,KnightShift,game,6.99,00:00.0,-1,0,1
265690,NaissanceE,game,14.99,00:00.0,66,0,0
265790,Residue: Final Cut,game,4.99,00:00.0,-1,0,0
3010,Xpand Rally,game,4.99,00:00.0,82,0,1
34650,Massive Assault Network 2,game,14.99,00:00.0,72,0,1
38150,Farm Frenzy 3,game,9.99,00:00.0,-1,0,0
292420,Panzer Elite Action Gold Edition,game,9.99,00:00.0,-1,0,1
6060,STAR WARS™ Battlefront™ II,game,9.99,00:00.0,78,0,0
25800,Europa Universalis III Complete,game,14.99,00:00.0,83,0,1
4290,RACE: Caterham Expansion,game,4.99,00:00.0,-1,0,1
33580,The Great Art Race,game,7.99,00:00.0,-1,0,0
292800,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,game,6.99,00:00.0,-1,0,0
301250,SPORT1 Live : Duel,game,4.99,00:00.0,-1,0,1
212110,Sugar Cube: Bittersweet Factory,game,6.99,00:00.0,-1,0,0
260510,World Basketball Tycoon,game,9.99,00:00.0,-1,0,0
269150,Luxuria Superbia,game,6.99,00:00.0,-1,0,0
251630,The Impossible Game,game,4.99,00:00.0,64,0,0
32650,Delta Force: Task Force Dagger,game,9.99,00:00.0,51,0,1
211500,RaceRoom Racing Experience,game,0,00:00.0,-1,0,1
49300,Commander: Conquest of the Americas,game,0,00:00.0,68,0,0
226860,Galactic Civilizations III,game,39.99,00:00.0,81,0,1
25890,Hearts of Iron III,game,9.99,00:00.0,77,0,1
251570,7 Days to Die,game,24.99,00:00.0,-1,0,1
65780,ARMA: Gold Edition ,game,9.99,00:00.0,-1,17,1
215510,Rocketbirds: Hardboiled Chicken,game,9.99,00:00.0,74,0,1
301460,Electronic Super Joy: Groove City,game,4.99,00:00.0,-1,0,0
260750,Neighbours from Hell Compilation,game,9.99,00:00.0,69,0,0
22600,Worms Reloaded,game,19.99,00:00.0,79,0,1
205610,Port Royale 3,game,19.99,00:00.0,-1,0,1
224340,Fast & Furious™: Showdown,game,29.99,00:00.0,-1,0,0
34900,Bad Rats: the Rats' Revenge,game,0.99,00:00.0,-1,0,0
65710,Pat & Mat,game,6.99,00:00.0,-1,0,0
232910,TrackMania² Stadium,game,9.99,00:00.0,-1,0,1
6250,Making History: The Calm & the Storm,game,4.99,00:00.0,70,0,1
100,Counter-Strike: Condition Zero,game,9.99,00:00.0,65,0,1
38490,Earthworm Jim 2,game,19.99,00:00.0,-1,0,0
42910,Magicka,game,9.99,00:00.0,74,0,1
31180,Tales of Monkey Island Complete Pack,game,19.99,00:00.0,79,0,0
36300,Cake Mania Main Street™,game,6.99,00:00.0,-1,0,0
310970,Legions of Ashworld,game,4.99,00:00.0,-1,0,0
215470,Primal Carnage,game,7.99,00:00.0,67,0,1
9900,Star Trek Online,game,0,00:00.0,76,0,1
31230,Sam & Max: The Devil’s Playhouse ,game,19.99,00:00.0,-1,0,0
276430,My Pet Hotel 2,game,3.99,00:00.0,-1,0,0
11130,Sherlock Holmes: The Mystery of the Mummy,game,9.99,00:00.0,-1,0,0
245150,The Novelist,game,14.99,00:00.0,66,0,0
259510,Shufflepuck Cantina Deluxe,game,9.99,00:00.0,-1,0,0
34630,Massive Assault,game,9.99,00:00.0,77,0,0
264080,Vangers,game,6.99,00:00.0,-1,0,0
218330,Smashmuck Champions,game,0,00:00.0,-1,13,1
313740,Sakura Spirit,game,9.99,00:00.0,-1,17,0
32400,STAR WARS™ - Dark Forces,game,5.99,00:00.0,-1,0,0
4850,Cossacks: Back to War,game,4.99,00:00.0,60,0,1
212780,New Star Soccer 5,game,14.99,00:00.0,-1,0,0
239700,Hate Plus,game,9.99,00:00.0,-1,0,0
10270,Disciples III: Reincarnation,game,19.99,00:00.0,-1,0,1
12540,Mahjongg Investigations: Under Suspicion,game,9.99,00:00.0,-1,0,0
12130,Manhunt,game,9.99,00:00.0,75,17,0
253690,Tiny Brains,game,9.99,00:00.0,-1,0,1
61310,Fractal: Make Blooms Not War,game,6.99,00:00.0,-1,0,0
71230,Crazy Taxi,game,7.99,00:00.0,-1,0,0
272010,Aveyond 3-1: Lord of Twilight,game,9.99,00:00.0,-1,0,0
212030,Kung Fu Strike - The Warrior's Rise,game,9.99,00:00.0,-1,0,0
205190,Rocksmith™,game,29.99,00:00.0,78,0,0
252490,Rust,game,19.99,00:00.0,-1,17,1
8170,Battlestations Pacific,game,8.99,00:00.0,74,0,1
228260,Fallen Enchantress: Legendary Heroes,game,24.99,00:00.0,80,0,0
243020,Pandemonium,game,6.99,00:00.0,-1,0,0
261490,Bedlam,game,12.99,00:00.0,54,0,0
215930,Jagged Alliance 2 - Wildfire,game,6.99,00:00.0,-1,0,0
3460,Talismania Deluxe,game,4.99,00:00.0,-1,0,0
73020,Majesty 2 Collection,game,19.99,00:00.0,-1,0,1
227200,Waking Mars,game,9.99,00:00.0,79,0,0
246900,Viscera Cleanup Detail,game,12.99,00:00.0,-1,0,0
299460,Woodle Tree Adventures,game,2.99,00:00.0,-1,0,0
268420,Aura Kingdom,game,0,00:00.0,-1,0,0
242530,The Chaos Engine,game,9.99,00:00.0,40,0,0
248370,Bridge It +,game,9.99,00:00.0,-1,0,0
38080,Build-A-Lot,game,9.99,00:00.0,-1,0,0
273820,Mining & Tunneling Simulator,game,9.99,00:00.0,-1,0,0
